date,series,value
1991,mlfpr,78.9
1992,mlfpr,78.8
1993,mlfpr,78.7
1994,mlfpr,78.6
1995,mlfpr,79.2
1996,mlfpr,79.9
1997,mlfpr,80.5
1998,mlfpr,81.1
1999,mlfpr,81.7
2000,mlfpr,82.3
2001,mlfpr,81.4
2002,mlfpr,80.5
2003,mlfpr,79.6
2004,mlfpr,78.7
2005,mlfpr,77.8
2006,mlfpr,78.1
2007,mlfpr,78.4
2008,mlfpr,78.7
2009,mlfpr,79
2010,mlfpr,79.3
2011,mlfpr,78.8
2012,mlfpr,78.4
2013,mlfpr,78
2014,mlfpr,77.6
2015,mlfpr,77.1
2016,mlfpr,76.5
2017,mlfpr,75.9
2018,mlfpr,75.3
2019,mlfpr,74.7
2020,mlfpr,73.6
2021,mlfpr,74.2
2022,mlfpr,75.4
2023,mlfpr,76.8
1991,wlfpr,27.8
1992,wlfpr,27.9
1993,wlfpr,28
1994,wlfpr,28.1
1995,wlfpr,28.5
1996,wlfpr,28.9
1997,wlfpr,29.3
1998,wlfpr,29.7
1999,wlfpr,30.1
2000,wlfpr,30.5
2001,wlfpr,30.4
2002,wlfpr,30.3
2003,wlfpr,30.3
2004,wlfpr,30.2
2005,wlfpr,30.1
2006,wlfpr,29.9
2007,wlfpr,29.6
2008,wlfpr,29.3
2009,wlfpr,29
2010,wlfpr,27.9
2011,wlfpr,27.1
2012,wlfpr,27.1
2013,wlfpr,26.9
2014,wlfpr,27
2015,wlfpr,27
2016,wlfpr,26.9
2017,wlfpr,26.8
2018,wlfpr,26.6
2019,wlfpr,26.5
2020,wlfpr,25.9
2021,wlfpr,26.7
2022,wlfpr,28
2023,wlfpr,32.7
