date	series	value
1997	spirits	2,751
1998	spirits	2,741
1999	spirits	2,911
2000	spirits	2,925
2001	spirits	2,925
2002	spirits	2,922
2003	spirits	3,157
2004	spirits	3,079
2005	spirits	3,230
2006	spirits	3,169
2007	spirits	3,346
2008	spirits	3,505
2009	spirits	3,526
2010	spirits	3,739
2011	spirits	4,405
2012	spirits	4,728
2013	spirits	5,246
2014	spirits	5,015
2015	spirits	5,237
2016	spirits	5,263
2017	spirits	5,694
2018	spirits	6,225
2019	spirits	6,230
2020	spirits	7,683
2021	spirits	7,646
2022	spirits	7,070
2023	spirits	7,003
